Date,Open,High,Low,Close,Adj. Close,Change,Volume,MA_20,MACD,MACD_Signal,RSI,EMA_20,OBV,One_Day_Reversal,Max_Return_20D,Momentum_5D,Momentum_20D,Mean_Reversal_60D,F_Cash Flow/Assets,F_Book/Price,F_Earnings/Price,F_Forecast Earnings/Price,F_Sales/Assets,F_Debt/Assets,F_Debt/Equity,F_Dividend Yield,F_Return on Assets,F_Return on Equity,Short_Term_Reversal_1month,Medium_Term_Momentum_2month_to_12month,Long_Term_Reversal_13month_to_60month
2014-03-28,28.06,28.321,27.934,28.0,27.808,0.0028,822000,,0.0,0.0,,27.808,0.0,,,,,,,,,,,,,,,,,,
2014-03-31,28.345,28.35,27.847,27.849,27.658,-0.0054,216000,,-0.0119658119658083,-0.0023931623931616,,27.793714285714287,-216000.0,-0.0053941311852703,,,,,,,,,,,,,,,,,
2014-04-01,27.936,28.423,27.936,28.358,28.164,0.0183,158000,,0.0191602990235502,0.0019175298901807,,27.82897959183673,-58000.0,0.0182948875551378,,,,,,,,,,,,,,,,,
2014-04-02,28.255,30.242,28.11,28.35,28.156,-0.0003,2934000,,0.0426903255932913,0.0100720890308028,,27.8601243926142,-2992000.0,-0.000284050561,,,,,,,,,,,,,,,,,
2014-04-03,28.493,29.364,28.207,28.487,28.292,0.0048,101704000,,0.0714880350072704,0.0223552782260963,,27.90125540284141,98712000.0,0.0048302315669841,,,,,,,,,,,,,,,,,
2014-04-04,28.732,28.889,27.15,27.157,26.971,-0.0467,127038000,,-0.0121432528878457,0.0154555720033079,,27.81265965018985,-28326000.0,-0.0466916442810688,,-0.0300992520138089,,,,,,,,,,,,,,,
2014-04-07,27.037,27.424,26.357,26.908,26.723,-0.0092,87792000,,-0.0973114328297448,-0.0070978289633026,,27.70888254064796,-116118000.0,-0.0091950613622039,,-0.0338057704823198,,,,,,,,,,,,,,,
2014-04-08,27.13,27.75,27.081,27.745,27.555,0.0311,62852000,,-0.0965593067690662,-0.0249901245244553,,27.69422706058625,-53266000.0,0.0311342289413614,,-0.0216233489561142,,,,,,,,,,,,,,,
2014-04-09,27.981,28.269,27.648,28.207,28.014,0.0167,66434000,,-0.0582542586386907,-0.0316429513473024,,27.724681626244703,13168000.0,0.0166575939031028,,-0.0050433300184684,,,,,,,,,,,,,,,
2014-04-10,28.25,28.25,26.995,27.048,26.862,-0.0411,80516000,,-0.1194767507457896,-0.0492097112269998,,27.64252147136425,-67348000.0,-0.0411222959948597,,-0.0505443234836704,,,,,,,,,,,,,,,
2014-04-11,26.627,27.0,26.327,26.53,26.348,-0.0192,78282000,,-0.2070843813055312,-0.0807846452427061,,27.519233712186708,-145630000.0,-0.0191348373166554,,-0.023098883986504,,,,,,,,,,,,,,,
2014-04-14,26.913,27.205,26.478,26.626,26.444,0.0036,51360000,,-0.2657047826693706,-0.117768672728039,,27.416830501502258,-94270000.0,0.0036435403066645,,-0.0104404445608651,,,,,,,,,,,,,,,
2014-04-15,26.841,26.923,25.923,26.822,26.638,0.0074,76890000,,-0.2931286893485065,-0.1528406760521325,,27.34265616802585,-17380000.0,0.0073362577522311,,-0.0332788967519506,,,,,,,,,,,,,,,
2014-04-16,27.15,27.85,27.0,27.827,27.637,0.0375,97598000,,-0.2315818505432929,-0.1685889109503646,48.70748299319728,27.37068891392816,80218000.0,0.0375028155266912,,-0.0134575569358177,,,,,,,,,,,,,,,
2014-04-17,27.44,27.475,26.557,26.805,26.622,-0.0366999999999999,135818000,,-0.2616909443506792,-0.1872093176304275,42.22804718217563,27.29938520783976,-55600000.0,-0.036726128016789,,-0.0089345543890997,,,,,,,,,,,,,,,
2014-04-21,26.805,26.835,26.28,26.431,26.25,-0.0139999999999999,51194000,,-0.3119736709023222,-0.2121621882848064,41.03413143148243,27.199443759474068,-106794000.0,-0.0139734054541357,,-0.0037194473963867,,,,,,,,,,,,,,,
2014-04-22,26.432,26.862,26.376,26.74,26.558,0.0116999999999999,47178000,,-0.3232439134040099,-0.2343785333086472,39.50875359289262,27.138353877619394,-59616000.0,0.0117333333333333,,0.004310996823476,,,,,,,,,,,,,,,
2014-04-23,26.69,26.694,26.313,26.347,26.167,-0.0147,40934000,,-0.3595810673480208,-0.2594190401165219,37.6259798432251,27.045843984512786,-100550000.0,-0.014722494163717,,-0.0176815076206922,,,,,,,,,,,,,,,
2014-04-24,26.504,26.583,26.106,26.258,26.078,-0.0034,37560000,,-0.3910522726620158,-0.2857456866256207,36.14518147684605,26.95366836694014,-138110000.0,-0.0034012305575725,,-0.0564098852986938,,,,,,,,,,,,,,,
2014-04-25,26.126,26.235,25.771,25.809,25.632,-0.0171,41892000,27.02885,-0.4468311113249825,-0.3179627715654931,40.59030217849615,26.82779518913632,-180002000.0,-0.0171025385382314,,-0.0371872887085867,,,,,,,,,,,,,,,
2014-04-28,25.859,25.93,25.14,25.857,25.681,0.0019,66528000,26.922500000000003,-0.4815315563022295,-0.3506765285128404,42.46674378253327,26.718576599694764,-113474000.0,0.0019116729088639,0.0375028155266912,-0.0216761904761904,-0.0764887802071345,,,,,,,,,,,,,,
2014-04-29,25.845,26.473,25.816,26.385,26.204,0.0204,53834000,26.8498,-0.4615101777937873,-0.3728432583690298,39.77599515665205,26.66956930448574,-59640000.0,0.0203652505743545,0.0375028155266912,-0.0133293169666389,-0.0525706847928266,,,,,,,,,,,,,,
2014-04-30,26.38,26.4,26.126,26.333,26.153,-0.002,34928000,26.74925,-0.4446329134034812,-0.3872011893759201,34.98951443781256,26.62037222786805,-94568000.0,-0.0019462677453824,0.0375028155266912,-0.0005350250315283,-0.0714032097713394,,,,,,,,,,,,-0.05768124280782505,,
2014-05-01,26.356,26.646,26.194,26.568,26.386,0.0089,38006000,26.66075,-0.4077560491272756,-0.3913121613261912,45.49242424242425,26.59805106330919,-56562000.0,0.0089091117653805,0.0375028155266912,0.0118107216811105,-0.0628640431879528,,,,,,,,,,,,-0.05441463591004425,,
2014-05-02,26.688,26.7,26.281,26.396,26.216,-0.0065,33678000,26.55695,-0.3877783799749537,-0.3906054050559437,48.66288492706647,26.561665247755933,-90240000.0,-0.0064428105813688,0.0375028155266912,0.0227840199750311,-0.0733776332532164,,,,,,,,,,,,-0.06313023718221855,,
2014-05-05,26.241,26.445,26.066,26.39,26.21,-0.0002,20426000,26.5189,-0.3681858656251258,-0.3861214971697801,47.58563763929016,26.528173319398228,-110666000.0,-0.0002288678669515,0.0375028155266912,0.0205988863362018,-0.0282154907122464,,,,,,,,,,,,-0.0689018326466827,,
2014-05-06,26.262,26.341,25.753,25.757,25.581,-0.024,33688000,26.4618,-0.39881639295076,-0.3886604763259761,39.99242567695509,26.4379663365984,-144354000.0,-0.0239984738649371,0.0375028155266912,-0.0237749961837887,-0.0427347228978781,,,,,,,,,,,,-0.07358970733776338,,
2014-05-07,25.789,25.834,25.165,25.498,25.324,-0.0101,64310000,26.35025,-0.4387711776879293,-0.3986826165983668,24.520819563780577,26.331874304541408,-208664000.0,-0.0100465189007465,0.0375028155266912,-0.0316980843497877,-0.0809653420431862,,,,,,,,,,,,-0.051536835860739316,,
2014-05-08,25.423,25.862,25.322,25.55,25.375,0.002,40316000,26.2183,-0.4610061665539398,-0.4111473265894814,32.55944055944053,26.240743418394608,-168348000.0,0.0020138998578422,0.0375028155266912,-0.0383157735162585,-0.0942028985507246,,,,,,,,,,,,-0.052351906597313036,,
2014-05-09,25.538,25.995,25.21,25.937,25.759,0.0151,48656000,26.16315,-0.442540631716156,-0.4174259876148163,43.15584053526624,26.194863092833216,-119692000.0,0.0151330049261084,0.0375028155266912,-0.0174321025328044,-0.0410617228799046,,,,,,,,,,,,-0.0791144982761749,,
2014-05-12,26.176,26.51,25.95,26.496,26.315,0.0216,38146000,26.1615,-0.37867685790631,-0.409676161673115,46.83181225554109,26.20630470303957,-81546000.0,0.0215846888466166,0.0375028155266912,0.0040061045402517,-0.0012524669804159,,,,,,,,,,,,-0.080495466552438,,
2014-05-13,26.545,26.804,26.476,26.655,26.472,0.006,32978000,26.1629,-0.311801515372597,-0.3901012324130115,54.23493474034991,26.231609017035808,-48568000.0,0.0059661789853695,0.0375028155266912,0.0348305382901372,0.0010588413250642,,,,,,,,,,,,-0.020363338545156595,,
2014-05-14,26.65,26.65,26.264,26.333,26.152,-0.0121,23770000,26.138600000000004,-0.2813800758903753,-0.3683570011084843,50.96555323590817,26.22402720588954,-72338000.0,-0.0120882441825325,0.0375028155266912,0.0326962565155584,-0.0182446129589308,,,,,,,,,,,,0.004706239562775272,,
2014-05-15,26.285,26.294,25.871,25.999,25.821,-0.0127,33994000,26.0478,-0.2807435626106773,-0.3508343134089229,52.54237288135593,26.18564366247149,-106332000.0,-0.0126567757724074,0.0215846888466166,0.0175763546798031,-0.0657090132792994,,,,,,,,,,,,-0.011042202389956013,,
2014-05-16,26.069,26.09,25.772,26.032,25.853,0.0013,29624000,26.00935,-0.2744928064786016,-0.3355660120228587,52.32432432432434,26.153963313664683,-76708000.0,0.0012393013438674,0.0215846888466166,0.0036492099848597,-0.0288858838554578,,,,,,,,,,,,-0.030670470756062773,,
